Event,city,day,month,img,search_importance
Cultura Profética,Buenos Aires,24,MAY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRP8rJEOGewKAbHmq5PCR6h-zcbO55nU4lxyOTjoaQ&s,"About 3,440 results (0.37 seconds) "
VinoFest Edicion Otoño,Buenos Aires,24,MAY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4r6ETSbJWb3pUmk-SQq_3Z0d0JFm2xbJ_o3ACJjCybQ&s=10,About 5 results (0.28 seconds) 
Liga Bazooka,Buenos Aires,25,MAY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRW-Oyqh3vEGRl6BlDrmMLGE5tE9ydg-KkpV6vRXQAcCA&s=10,"About 3,670 results (0.24 seconds) "
Marcela Morelo,Buenos Aires,25,MAY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRw6yhnmZ-uEXBrXLdfan2YmtI4WGHxA4ZRWETec3NHgsepXUW6PkFijPQGoA&s=10,"About 1,890 results (0.28 seconds) "
Anitta: BAILE FUNK EXPERIENCE,Buenos Aires,16,JUN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKgeVyLAsdCojl67adQ8FqlO8yAsXD6JpFsadCJwjpYJCLYF_HKykxSuphHQ&s=10,"About 2,970 results (0.26 seconds) "
Emmanuel Horvilleur,Buenos Aires,25,MAY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS__KWHOYaFtI6AqDf04fp6Zsf31uQOvR8VSi9Vb95VbA&s,"About 1,390 results (0.25 seconds) "
Interpol,Buenos Aires,2,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmqQVbE-x5Qf6-7W3lSiMUIr4ZdsPOykEcHh2G71qo1w&s=10,"About 23,000 results (0.32 seconds) "
Pedro Capó,Buenos Aires,1,JUN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAsivmvgxKaLqzWrex9CFwheVqFBBKgvKOuWVfyVo&s,"About 37,800 results (0.31 seconds) "
El Cuarteto de Nos en Buenos Aires,Buenos Aires,31,AUG,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtA0crdeYVeyEfo6iLhEbWwt5uiVpvZsOmnf3vPTo&s,"About 31,400 results (0.42 seconds) "
Lucas Cervetti,Buenos Aires,25,MAY,https://www.google.com/maps/vt/data=2jkdBM4ousuTtiuC8A0a_mgHdMLiDgLhtODWDJJtVQTxtfX252PaGA9eifK_XWDV_SXuMOp4-z_gHM5O1Z2RuktXK5M6lLMqGeDlcyr3j3S2o_W9?scale=1,"About 1,110 results (0.31 seconds) "
Peces Raros en Luna Park,Buenos Aires,24,MAY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1BGILyLwUbXSam0QErzFlCTkbC-PjCn4D2tR_V6bAu3gd58KxXOQi5X0&s,"About 6,450 results (0.29 seconds) "
Festival Tocadak 2024,Buenos Aires,25,MAY,https://www.google.com/maps/vt/data=xFl4fiClf85dTQbRMrpLWBRZttwZ3StzZ1se66o8VVV_AU09L47G0ayCTuc_YslC-x_j-MCBPHU50pktuSILntRFtEEsiuihgE2YK3_br1LbXCvF?scale=1,About 143 results (0.24 seconds) 
Daniel Agostini,Buenos Aires,10,SEP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxdhh0XQ_O9uWog1a7CF6n4dH9Y77wlfXzILlD0gYY2oAl9nBiTek0oWc&s,"About 11,900 results (0.35 seconds) "
Abraham Mateo,Buenos Aires,19,OCT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxdhh0XQ_O9uWog1a7CF6n4dH9Y77wlfXzILlD0gYY2oAl9nBiTek0oWc&s,"About 21,400 results (0.26 seconds) "
Niall Horan,Buenos Aires,2,OCT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSe0tpMV4MPg73rF8q2RCmwCXEg3hxcOqiCr7QY31E&s,"About 6,860 results (0.26 seconds) "
Caloncho,Buenos Aires,28,SEP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTolyynHqFQ2Kqaj-9VcdGpAcbr1y76TBfza0mQ77E&s,About 813 results (0.25 seconds) 
Emanero,Buenos Aires,13,JUN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0JltAPoxRuv_4TbzRI-SwbXjNO7_dUNTb8d6y-7g&s,"About 3,420 results (0.23 seconds) "
Emilia Mernes Tickets,Buenos Aires,12,OCT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvzOpq6PeYR97TI2i0LZSy3Phy1lTUdzOr4SoxpoQ&s,"About 47,700 results (0.42 seconds) "
Luna Park - Emanero,Buenos Aires,14,JUN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0JltAPoxRuv_4TbzRI-SwbXjNO7_dUNTb8d6y-7g&s,"About 1,380 results (0.48 seconds) "
amigo de lo ajeno,Buenos Aires,25,MAY,https://www.google.com/maps/vt/data=om12WRG1YS1bsD684yrs4FyglWB5eqQkuVVUU3VuErfoeLjE1fzENIh1V567CSLyEuo74GAlCVUXEOSM00e-blUSifeCu8PBRqG5rgDuswqMidOW?scale=1,"About 5,900 results (0.35 seconds) "
Morat,Buenos Aires,9,OCT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxPD_GeZIimjLqxogL8cBdMcCmvyzDcHKebuXmfkWJJy634xaj1pSGaY8&s,"About 15,500 results (0.36 seconds) "
